Type,TradeDate,Instrument,Counterparty,Notional,Rate,TradeId
GovBond,2012-04-17,DE0001117794,CSI¬AG,674500000,105.985,GOV001
GovBond,2012-05-02,GB00B29WRG55,BCAP,10000000,101.675,GOV002
GovBond,2012-06-05,GB00B582JV65,BCAP,50000000000,118.485,GOV003
GovBond,2012-03-26,DE0001030070,CSI¬AG,3400000,100.101,GOV004
GovBond,2012-05-18,IT0004848831,MSIL,9000000,120.525,GOV005
GovBond,2012-07-05,IT0004853807,MSIL,45062344,117.115,GOV006
CorpBond,2012-04-18,XS0138717441,GS,345754934,110.450,CORP001
CorpBond,2012-06-21,XS0780063235,BLKROCK,7800000,104.650,CORP002
CorpBond,2012-08-30,XS0340495216,BLKROCK,67000000,120.240,CORP003
Supra,2012-08-30,XS0340495216,BLKROCK,67000000,120.240,GOV007
